Geography;Sex;Age group (5,6);2010;2011;2012;2013
Nova Scotia;Males;41 years;6289;6307;6370;6071
Nova Scotia;Males;42 years;6249;6277;6267;6325
Nova Scotia;Males;43 years;6541;6294;6234;6231
Nova Scotia;Males;44 years;6808;6542;6264;6194
Nova Scotia;Males;45 years;7415;6831;6503;6230
Nova Scotia;Males;46 years;7825;7365;6796;6471
Nova Scotia;Males;47 years;7892;7748;7322;6760
Nova Scotia;Males;48 years;7934;7833;7712;7277
Nova Scotia;Males;49 years;7885;7890;7799;7667
Nova Scotia;Males;50 years;7668;7873;7844;7746
Nova Scotia;Males;51 years;7451;7638;7828;7799
Nova Scotia;Males;52 years;7595;7451;7593;7783
Nova Scotia;Males;53 years;7592;7555;7413;7555
Nova Scotia;Males;54 years;7260;7553;7516;7367
Nova Scotia;Males;55 years;7315;7266;7522;7478
Nova Scotia;Males;56 years;7038;7250;7244;7484
Nova Scotia;Males;57 years;6698;6998;7220;7209
Nova Scotia;Males;58 years;6478;6686;6970;7185
Nova Scotia;Males;59 years;6504;6463;6649;6924
Nova Scotia;Males;60 years;6593;6452;6410;6602
Nova Scotia;Males;61 years;6398;6523;6402;6359
Nova Scotia;Males;62 years;6639;6395;6462;6341
Nova Scotia;Males;63 years;6630;6592;6334;6403
Nova Scotia;Males;64 years;5513;6477;6523;6266
Nova Scotia;Males;65 years;5044;5506;6393;6440
Nova Scotia;Males;66 years;4900;5000;5433;6307
Nova Scotia;Males;67 years;4673;4815;4933;5351
Nova Scotia;Males;68 years;4288;4564;4740;4849
Nova Scotia;Males;69 years;4092;4204;4483;4651
Nova Scotia;Males;70 years;3543;3953;4128;4399
Nova Scotia;Males;71 years;3627;3520;3873;4046
Nova Scotia;Males;72 years;3426;3510;3453;3792
Nova Scotia;Males;73 years;3121;3319;3412;3354
Nova Scotia;Males;74 years;3011;3038;3224;3310
Nova Scotia;Males;75 years;2794;2897;2935;3108
Nova Scotia;Males;76 years;2515;2660;2786;2819
Nova Scotia;Males;77 years;2459;2422;2556;2681
Nova Scotia;Males;78 years;2292;2339;2301;2431
Nova Scotia;Males;79 years;2128;2150;2215;2175
Nova Scotia;Males;80 years;1829;1983;2020;2081
Nova Scotia;Males;81 years;1793;1726;1853;1889
Nova Scotia;Males;82 years;1646;1628;1611;1726
Nova Scotia;Males;83 years;1342;1500;1504;1486
Nova Scotia;Males;84 years;1254;1226;1370;1371
